@relation MouseFeatures


@attribute Type {Left, Right, Double}
@attribute length real
@attribute speed real
@attribute accel real
@attribute jerk real
@attribute int1Len real
@attribute int2Len real
@attribute int3Len real
@attribute File {53,54,55,1,3,4,2,5,7,10,12,13,15,16,17,18,19,20,21,22,23,24,25,27,29,30,31,32,37,38,40,41,42,43,44,48,49,51,9,}
@data 
Left,62,0.0996460473,0.0000066122,0.0000000004,?,?,?,53
Left,78,0.1328073796,0.0000254128,0.0000000049,?,?,?,53
Left,63,0.1123865792,0.0000063643,0.0000000004,?,?,?,53
Left,78,0.0659906580,0.0000063612,0.0000000006,?,?,?,53
Double,484,0.0000000000,0.0000000000,0.0000000000,94,312,78,53
Double,437,0.0233826106,0.0000217311,0.0000000202,78,266,93,53
Double,546,0.0369739266,0.0000338589,0.0000000310,110,358,78,53
Left,62,0.0000000000,0.0000000000,0.0000000000,?,?,?,53
Left,94,0.0048986374,0.0000001231,0.0000000000,?,?,?,53
Double,328,0.0000000000,0.0000000000,0.0000000000,94,156,78,53
Left,62,0.0020040080,0.0000040160,0.0000000080,?,?,?,53
Left,93,0.0000000000,0.0000000000,0.0000000000,?,?,?,53
Left,78,0.1510508498,0.0000484137,0.0000000155,?,?,?,53
Left,78,0.1445141806,0.0001235164,0.0000001056,?,?,?,53
Left,93,0.1008718117,0.0000760723,0.0000000574,?,?,?,53
Double,390,0.0000000000,0.0000000000,0.0000000000,109,187,94,53
Double,499,0.0000000000,0.0000000000,0.0000000000,94,312,93,53
Left,62,0.1495442930,0.0000213971,0.0000000031,?,?,?,53
Left,94,0.0603111345,0.0000037829,0.0000000002,?,?,?,53
Double,577,0.0716510255,0.0000039055,0.0000000002,94,374,109,53
Left,78,0.2460752667,0.0000998277,0.0000000405,?,?,?,53
Double,312,0.0266802902,0.0000008825,0.0000000000,62,172,78,53
Left,62,0.1744298046,0.0000828252,0.0000000393,?,?,?,53
Left,62,0.0179317279,0.0000023410,0.0000000003,?,?,?,53
Double,578,0.0940281971,0.0000354556,0.0000000134,110,390,78,53
Left,109,0.1021812778,0.0000909086,0.0000000809,?,?,?,53
Left,62,0.0068013933,0.0000001019,0.0000000000,?,?,?,53
Left,63,0.3992062423,0.0001266919,0.0000000402,?,?,?,53
Double,453,0.0802387468,0.0000105828,0.0000000014,109,266,78,53
Left,94,0.2474764611,0.0001555477,0.0000000978,?,?,?,53
Left,109,0.5601186454,0.0000997362,0.0000000178,?,?,?,53
Left,93,0.3159147596,0.0000362912,0.0000000042,?,?,?,53
Left,110,0.0937645527,0.0000122169,0.0000000016,?,?,?,53
Left,94,0.3206999369,0.0001522792,0.0000000723,?,?,?,53
Left,94,0.0997020320,0.0000798894,0.0000000640,?,?,?,53
Left,78,0.2459252026,0.0000511811,0.0000000107,?,?,?,53
Left,109,0.0699975418,0.0000103623,0.0000000015,?,?,?,53
Left,78,0.0718448888,0.0000078322,0.0000000009,?,?,?,53
Left,94,0.2292541399,0.0000585429,0.0000000149,?,?,?,53
Left,94,0.4506367305,0.0004660152,0.0000004819,?,?,?,53
Left,78,0.0303387718,0.0000004694,0.0000000000,?,?,?,53
Left,78,0.0924721799,0.0000066752,0.0000000005,?,?,?,53
Left,93,0.2072167187,0.0000577527,0.0000000161,?,?,?,53
Left,78,0.6851395664,0.0011268743,0.0000018534,?,?,?,53
Left,93,0.2636413746,0.0002726384,0.0000002819,?,?,?,53
Left,109,0.0752556746,0.0000055965,0.0000000004,?,?,?,53
Left,110,0.0663318073,0.0000070633,0.0000000008,?,?,?,53
Left,109,0.0398158490,0.0000043553,0.0000000005,?,?,?,53
Left,109,0.0442011564,0.0000039353,0.0000000004,?,?,?,53
Left,62,0.1523371773,0.0000204727,0.0000000028,?,?,?,53
Left,63,0.1944007435,0.0002308797,0.0000002742,?,?,?,53
Left,78,0.2160662690,0.0000809844,0.0000000304,?,?,?,53
Left,93,0.1882634659,0.0000266398,0.0000000038,?,?,?,53
Left,109,0.0384188225,0.0000041462,0.0000000004,?,?,?,53
Left,109,0.0404683729,0.0000032877,0.0000000003,?,?,?,53
Double,484,0.0451245628,0.0000029547,0.0000000002,109,281,94,53
Left,78,0.1158563521,0.0000136270,0.0000000016,?,?,?,53
Left,93,0.0000000000,0.0000000000,0.0000000000,?,?,?,53
Left,93,0.4121796302,0.0001308091,0.0000000415,?,?,?,53
Left,109,0.0733098890,0.0000055091,0.0000000004,?,?,?,53
Left,109,0.0405929136,0.0000059139,0.0000000009,?,?,?,53
Left,78,0.4683464197,0.0001745607,0.0000000651,?,?,?,53
Left,109,0.4677454358,0.0002271712,0.0000001103,?,?,?,53
Left,94,0.1391521266,0.0000367059,0.0000000097,?,?,?,53
Left,109,0.1178380590,0.0000165271,0.0000000023,?,?,?,53
Left,94,0.1576430736,0.0000492943,0.0000000154,?,?,?,53
Left,94,0.4387734640,0.0005211086,0.0000006189,?,?,?,53
Left,78,0.0218384721,0.0000005074,0.0000000000,?,?,?,53
Left,110,0.0269735360,0.0000183994,0.0000000126,?,?,?,53
Left,62,0.1178950294,0.0001238393,0.0000001301,?,?,?,53
Left,109,0.7481369850,0.0007051244,0.0000006646,?,?,?,53
Left,62,0.7668251295,0.0006732442,0.0000005911,?,?,?,53
Left,78,0.0147378449,0.0000001728,0.0000000000,?,?,?,53
Left,78,0.0360071748,0.0000059486,0.0000000010,?,?,?,53
Left,93,0.0003052503,0.0000000932,0.0000000000,?,?,?,53
Left,94,0.0000000000,0.0000000000,0.0000000000,?,?,?,53
Left,109,0.0000000000,0.0000000000,0.0000000000,?,?,?,53
Left,94,0.0450600787,0.0000050324,0.0000000006,?,?,?,53
Left,93,0.2264365368,0.0000848713,0.0000000318,?,?,?,53
Left,94,0.0990913362,0.0000171231,0.0000000030,?,?,?,53
Left,78,0.1291811296,0.0001478045,0.0000001691,?,?,?,53
Left,78,0.3626868204,0.0001028607,0.0000000292,?,?,?,53
Left,94,0.0468493625,0.0000178814,0.0000000068,?,?,?,53
Left,93,0.0140967740,0.0000015035,0.0000000002,?,?,?,53
Left,110,0.3363137901,0.0001908705,0.0000001083,?,?,?,53
Left,94,0.1833051794,0.0000605767,0.0000000200,?,?,?,53
Left,78,0.2430244822,0.0000865472,0.0000000308,?,?,?,53
