@relation MouseFeatures


@attribute Type {Left, Right, Double}
@attribute length real
@attribute speed real
@attribute accel real
@attribute jerk real
@attribute int1Len real
@attribute int2Len real
@attribute int3Len real
@attribute File {53,54,55,1,3,4,2,5,7,10,12,13,15,16,17,18,19,20,21,22,23,24,25,27,29,30,31,32,37,38,40,41,42,43,44,48,49,51,9,}
@data 
Left,78,0.0683401138,0.0000652723,0.0000000623,?,?,?,1
Left,78,0.3870542995,0.0001383819,0.0000000495,?,?,?,1
Left,94,0.0706866064,0.0000078271,0.0000000009,?,?,?,1
Left,94,0.2740751051,0.0000656939,0.0000000157,?,?,?,1
Left,94,0.1703139901,0.0000174681,0.0000000018,?,?,?,1
Left,93,0.0547718413,0.0000083265,0.0000000013,?,?,?,1
Left,63,0.5713315989,0.0004516455,0.0000003570,?,?,?,1
Left,46,0.6513451813,0.0009913930,0.0000015090,?,?,?,1
Left,94,0.2100757885,0.0000672243,0.0000000215,?,?,?,1
Left,62,0.0433333726,0.0000182456,0.0000000077,?,?,?,1
Left,94,0.2122727963,0.0000423276,0.0000000084,?,?,?,1
Left,63,0.0943674668,0.0000101843,0.0000000011,?,?,?,1
Double,328,0.1446796595,0.0001101901,0.0000000839,93,141,94,1
Left,78,0.0178382975,0.0000335938,0.0000000633,?,?,?,1
Left,47,0.1671591400,0.0000250538,0.0000000038,?,?,?,1
Left,78,0.1083047058,0.0000038148,0.0000000001,?,?,?,1
Left,47,0.0005623116,0.0000002236,0.0000000001,?,?,?,1
Double,360,0.0049936364,0.0000008756,0.0000000002,110,156,94,1
Left,78,0.1921969358,0.0001149503,0.0000000688,?,?,?,1
Left,78,0.2179399991,0.0001143442,0.0000000600,?,?,?,1
Left,62,0.1650538202,0.0002778684,0.0000004678,?,?,?,1
Left,94,0.0750553128,0.0000155458,0.0000000032,?,?,?,1
Double,422,0.1057123432,0.0001057123,0.0000001057,62,282,78,1
Left,94,0.4844466517,0.0003371236,0.0000002346,?,?,?,1
Left,78,0.1011193809,0.0000187571,0.0000000035,?,?,?,1
Left,63,0.2234660176,0.0000768981,0.0000000265,?,?,?,1
Left,78,0.1875943230,0.0000745902,0.0000000297,?,?,?,1
Left,78,0.1244914720,0.0001374078,0.0000001517,?,?,?,1
Left,62,0.4044473111,0.0003274877,0.0000002652,?,?,?,1
Double,500,0.2040314503,0.0002902297,0.0000004128,78,328,94,1
Double,437,0.1180985138,0.0001481788,0.0000001859,47,328,62,1
Left,94,0.1516510691,0.0001867624,0.0000002300,?,?,?,1
Left,62,0.2240949867,0.0002605756,0.0000003030,?,?,?,1
Left,93,0.1382683605,0.0000553073,0.0000000221,?,?,?,1
Double,344,0.1874308757,0.0000799620,0.0000000341,94,187,63,1
Left,63,0.2603616683,0.0001873106,0.0000001348,?,?,?,1
Left,79,0.0872741815,0.0000120378,0.0000000017,?,?,?,1
Left,78,0.0208770543,0.0000208771,0.0000000209,?,?,?,1
Right,109,0.4049818240,0.0004545251,0.0000005101,?,?,?,1
Left,62,0.0491244890,0.0000785992,0.0000001258,?,?,?,1
Left,78,0.5991571199,0.0004736420,0.0000003744,?,?,?,1
Left,78,0.6559026918,0.0005247222,0.0000004198,?,?,?,1
Left,93,0.2922257555,0.0001280569,0.0000000561,?,?,?,1
Left,63,0.9556445723,0.0012492086,0.0000016330,?,?,?,1
Left,78,0.2260486767,0.0000492052,0.0000000107,?,?,?,1
Left,94,0.5697577083,0.0003682985,0.0000002381,?,?,?,1
Left,78,0.2191362713,0.0000450990,0.0000000093,?,?,?,1
Left,78,1.0910681804,0.0013177152,0.0000015914,?,?,?,1
Left,94,0.3166771939,0.0001490246,0.0000000701,?,?,?,1
Double,360,0.1606981013,0.0000699600,0.0000000305,78,219,63,1
Double,500,0.0141935471,0.0000091749,0.0000000059,78,344,78,1
Double,578,0.0106260287,0.0000041720,0.0000000016,78,406,94,1
Left,94,0.1235722327,0.0000859932,0.0000000598,?,?,?,1
Left,94,0.1308969048,0.0001642370,0.0000002061,?,?,?,1
Double,391,0.1194125858,0.0000878680,0.0000000647,94,234,63,1
Left,78,0.0288061267,0.0000439118,0.0000000669,?,?,?,1
Left,78,0.0371109035,0.0000276123,0.0000000205,?,?,?,1
Left,78,0.0377931747,0.0000653861,0.0000001131,?,?,?,1
Double,360,0.0466182406,0.0000248631,0.0000000133,63,250,47,1
Double,359,0.0468961714,0.0000652242,0.0000000907,47,250,62,1
Left,78,0.0948429909,0.0000142492,0.0000000021,?,?,?,1
Left,94,0.4214704838,0.0002453262,0.0000001428,?,?,?,1
Left,62,0.1392484230,0.0000536810,0.0000000207,?,?,?,1
Left,93,0.0695341313,0.0000065444,0.0000000006,?,?,?,1
Left,78,0.8572856445,0.0010557705,0.0000013002,?,?,?,1
Right,78,0.4255675357,0.0005139705,0.0000006207,?,?,?,1
Left,78,0.0743337471,0.0001901119,0.0000004862,?,?,?,1
Left,63,0.6514237144,0.0006133933,0.0000005776,?,?,?,1
Left,78,0.7083045634,0.0005887818,0.0000004894,?,?,?,1
Left,62,0.9213839753,0.0010713767,0.0000012458,?,?,?,1
Left,47,0.9986769016,0.0010479296,0.0000010996,?,?,?,1
Left,79,0.2590159351,0.0000859091,0.0000000285,?,?,?,1
Double,313,0.4344338575,0.0004344339,0.0000004344,79,171,63,1
Left,78,0.0559889977,0.0000176510,0.0000000056,?,?,?,1
Double,422,0.0133755338,0.0000068487,0.0000000035,110,234,78,1
Double,422,0.0225502163,0.0000153507,0.0000000104,78,250,94,1
Left,63,0.0248315873,0.0000122263,0.0000000060,?,?,?,1
Left,78,0.0770298229,0.0001172448,0.0000001785,?,?,?,1
Double,375,0.0168756244,0.0000113717,0.0000000077,78,219,78,1
Double,343,0.0067437349,0.0000027314,0.0000000011,62,219,62,1
Left,78,0.0328663398,0.0000049490,0.0000000007,?,?,?,1
Left,62,0.3352993460,0.0001269592,0.0000000481,?,?,?,1
Left,93,0.0784224983,0.0000234517,0.0000000070,?,?,?,1
Left,78,0.0271603337,0.0000482422,0.0000000857,?,?,?,1
Left,79,0.1327924806,0.0000582168,0.0000000255,?,?,?,1
Left,94,0.2567137677,0.0000892917,0.0000000311,?,?,?,1
Left,94,0.1525108638,0.0000542164,0.0000000193,?,?,?,1
Right,110,0.5361103532,0.0007803644,0.0000011359,?,?,?,1
Left,78,0.0929258237,0.0002581273,0.0000007170,?,?,?,1
Double,390,0.5591028017,0.0003931806,0.0000002765,78,219,93,1
Left,63,0.5465059279,0.0003931697,0.0000002829,?,?,?,1
Double,437,0.9629030968,0.0011196548,0.0000013019,62,281,94,1
Left,94,0.3918960001,0.0003982683,0.0000004047,?,?,?,1
Left,78,0.2225873258,0.0002372999,0.0000002530,?,?,?,1
Left,93,0.8637495572,0.0011516661,0.0000015356,?,?,?,1
Left,78,0.6549413941,0.0001830468,0.0000000512,?,?,?,1
Double,406,0.0642285354,0.0000272270,0.0000000115,78,250,78,1
Left,62,0.0391644038,0.0000198905,0.0000000101,?,?,?,1
Left,78,0.0913414964,0.0000696200,0.0000000531,?,?,?,1
Double,422,0.0168468923,0.0000125349,0.0000000093,78,297,47,1
Left,78,0.1149765428,0.0000897553,0.0000000701,?,?,?,1
Left,78,0.2912285867,0.0004902838,0.0000008254,?,?,?,1
Left,78,0.2600699024,0.0002683900,0.0000002770,?,?,?,1
Double,437,0.1326040603,0.0001131434,0.0000000965,62,313,62,1
Double,438,0.0229946545,0.0000140211,0.0000000085,63,297,78,1
Left,63,0.1487782324,0.0001700323,0.0000001943,?,?,?,1
Left,94,0.0314233862,0.0000147875,0.0000000070,?,?,?,1
Left,94,0.0463983230,0.0000618644,0.0000000825,?,?,?,1
Left,78,0.1957989526,0.0002319893,0.0000002749,?,?,?,1
Left,78,0.1182295265,0.0000123632,0.0000000013,?,?,?,1
Left,62,0.3747514412,0.0000685228,0.0000000125,?,?,?,1
Left,78,0.0892373310,0.0000059555,0.0000000004,?,?,?,1
Left,78,0.2072240182,0.0000784642,0.0000000297,?,?,?,1
Left,63,0.1486669691,0.0000183336,0.0000000023,?,?,?,1
Left,78,0.1751061401,0.0000667071,0.0000000254,?,?,?,1
Left,62,1.0868249704,0.0009934415,0.0000009081,?,?,?,1
Left,63,0.5487854005,0.0006758441,0.0000008323,?,?,?,1
Left,63,0.5736516281,0.0004589213,0.0000003671,?,?,?,1
Left,94,0.4294418942,0.0001819669,0.0000000771,?,?,?,1
Left,94,0.9167240848,0.0012489429,0.0000017016,?,?,?,1
Left,94,0.6286135065,0.0004846673,0.0000003737,?,?,?,1
Left,62,0.0130151844,0.0000141163,0.0000000153,?,?,?,1
Left,78,0.0628232550,0.0000618339,0.0000000609,?,?,?,1
Left,94,1.0208993882,0.0015562491,0.0000023723,?,?,?,1
Left,94,0.8015431582,0.0003946544,0.0000001943,?,?,?,1
Left,79,0.0190582995,0.0000069708,0.0000000025,?,?,?,1
Left,93,0.0395738204,0.0000602341,0.0000000917,?,?,?,1
Double,407,0.1289680979,0.0001179946,0.0000001080,79,265,63,1
Left,62,0.1103528029,0.0001603965,0.0000002331,?,?,?,1
Left,63,0.1488671132,0.0002028162,0.0000002763,?,?,?,1
Double,484,0.0242153263,0.0000109920,0.0000000050,78,297,109,1
Double,391,0.1831827253,0.0001448085,0.0000001145,94,203,94,1
Left,94,0.0530647758,0.0000693657,0.0000000907,?,?,?,1
Left,62,0.2386530906,0.0002544276,0.0000002712,?,?,?,1
Left,63,0.2616866998,0.0000751110,0.0000000216,?,?,?,1
Left,63,0.0172791495,0.0000208685,0.0000000252,?,?,?,1
Right,94,0.5685327113,0.0007735139,0.0000010524,?,?,?,1
Left,62,0.1339139917,0.0003173317,0.0000007520,?,?,?,1
Left,79,0.4711452071,0.0002556404,0.0000001387,?,?,?,1
Double,532,1.0436170551,0.0015190932,0.0000022112,79,375,78,1
Left,63,0.6363896614,0.0005429946,0.0000004633,?,?,?,1
Left,94,0.4015520757,0.0001636984,0.0000000667,?,?,?,1
Double,297,0.1469187391,0.0000817578,0.0000000455,63,156,78,1
Double,375,0.0778696730,0.0000940455,0.0000001136,79,218,78,1
Double,578,0.0699542164,0.0000414421,0.0000000246,94,437,47,1
Double,344,0.0566653421,0.0000710983,0.0000000892,94,171,79,1
Left,93,0.0552325581,0.0000802799,0.0000001167,?,?,?,1
Double,453,0.0302314314,0.0000122444,0.0000000050,78,282,93,1
Left,78,0.1803716529,0.0001722747,0.0000001645,?,?,?,1
Left,78,0.1659586701,0.0000408463,0.0000000101,?,?,?,1
Left,78,0.1200902190,0.0000300226,0.0000000075,?,?,?,1
Left,94,0.0781861883,0.0000142571,0.0000000026,?,?,?,1
Left,79,0.0087196393,0.0000008707,0.0000000001,?,?,?,1
Left,94,0.0518723668,0.0000077746,0.0000000012,?,?,?,1
Left,78,0.1550195652,0.0002023754,0.0000002642,?,?,?,1
Left,63,0.5370186748,0.0004351853,0.0000003527,?,?,?,1
Left,94,0.0265041368,0.0000287464,0.0000000312,?,?,?,1
Right,93,0.4489850417,0.0004044910,0.0000003644,?,?,?,1
Left,62,0.4285153715,0.0001312050,0.0000000402,?,?,?,1
Left,94,0.2350902839,0.0000767767,0.0000000251,?,?,?,1
Left,93,0.0464876208,0.0000487292,0.0000000511,?,?,?,1
Left,62,0.3547780347,0.0001523961,0.0000000655,?,?,?,1
Left,93,0.7935947281,0.0007054175,0.0000006270,?,?,?,1
Left,78,0.7514375467,0.0007403326,0.0000007294,?,?,?,1
Left,62,0.6479922868,0.0003734826,0.0000002153,?,?,?,1
Left,62,0.7419799387,0.0006330887,0.0000005402,?,?,?,1
Left,63,0.7416034971,0.0008052155,0.0000008743,?,?,?,1
Left,62,1.0404067826,0.0014155194,0.0000019259,?,?,?,1
Left,47,0.2621169252,0.0001111136,0.0000000471,?,?,?,1
Left,78,0.1868542479,0.0001343309,0.0000000966,?,?,?,1
Double,406,0.1789835921,0.0002083627,0.0000002426,94,234,78,1
Left,78,0.3381579244,0.0002277158,0.0000001533,?,?,?,1
Left,63,0.4222775377,0.0002291251,0.0000001243,?,?,?,1
Left,78,0.1639631215,0.0000160937,0.0000000016,?,?,?,1
Double,343,0.6904752738,0.0004700308,0.0000003200,93,157,93,1
Left,78,0.4759711769,0.0002744932,0.0000001583,?,?,?,1
Left,62,0.8197470735,0.0006994429,0.0000005968,?,?,?,1
Left,47,0.2942398275,0.0000980799,0.0000000327,?,?,?,1
Left,94,0.0581835169,0.0000277991,0.0000000133,?,?,?,1
Left,78,0.2828776209,0.0001707167,0.0000001030,?,?,?,1
Right,109,0.4714278108,0.0006705943,0.0000009539,?,?,?,1
Left,62,0.1022283148,0.0002614535,0.0000006687,?,?,?,1
Left,94,0.6300536838,0.0005380476,0.0000004595,?,?,?,1
Left,78,0.9054842252,0.0010528886,0.0000012243,?,?,?,1
Left,78,0.8508287408,0.0008927899,0.0000009368,?,?,?,1
Left,78,0.1614921896,0.0000931328,0.0000000537,?,?,?,1
Left,79,0.5101543713,0.0004732415,0.0000004390,?,?,?,1
Left,62,0.2311654978,0.0001071699,0.0000000497,?,?,?,1
Left,79,0.3393910358,0.0000952810,0.0000000267,?,?,?,1
Right,78,0.2708701715,0.0002139575,0.0000001690,?,?,?,1
Left,63,0.0812211490,0.0002734719,0.0000009208,?,?,?,1
Left,94,0.7253597290,0.0006274738,0.0000005428,?,?,?,1
Left,78,0.8207536174,0.0008901883,0.0000009655,?,?,?,1
Left,47,0.2618320088,0.0002500783,0.0000002389,?,?,?,1
Double,406,0.4560463716,0.0004560464,0.0000004560,78,281,47,1
Left,47,0.4062972606,0.0004484517,0.0000004950,?,?,?,1
Left,63,0.4272539002,0.0005820898,0.0000007930,?,?,?,1
Left,94,0.3747734595,0.0000771139,0.0000000159,?,?,?,1
Left,93,0.0000000000,0.0000000000,0.0000000000,?,?,?,1
Left,62,0.1132773755,0.0001510365,0.0000002014,?,?,?,1
Double,547,0.2924913909,0.0001534582,0.0000000805,109,344,94,1
Left,94,0.1250000000,0.0000941265,0.0000000709,?,?,?,1
Double,407,0.2753468517,0.0002938600,0.0000003136,110,203,94,1
Left,78,0.4068656264,0.0003061442,0.0000002304,?,?,?,1
Left,94,1.0311906488,0.0015367968,0.0000022903,?,?,?,1
Left,93,0.0869679072,0.0000164650,0.0000000031,?,?,?,1
Left,93,0.0415600276,0.0000092356,0.0000000021,?,?,?,1
Left,94,0.3301184574,0.0003523143,0.0000003760,?,?,?,1
Double,531,0.0766423111,0.0000368650,0.0000000177,62,375,94,1
Left,62,0.4398267592,0.0006545041,0.0000009740,?,?,?,1
Left,63,0.3929834953,0.0002418360,0.0000001488,?,?,?,1
Left,78,0.1012377122,0.0000180976,0.0000000032,?,?,?,1
Left,93,0.7244571955,0.0005585638,0.0000004307,?,?,?,1
Left,78,0.1282856256,0.0000305224,0.0000000073,?,?,?,1
Left,63,0.3659781194,0.0002632936,0.0000001894,?,?,?,1
Left,94,0.0315266887,0.0000113365,0.0000000041,?,?,?,1
Left,63,0.2139877569,0.0000412546,0.0000000080,?,?,?,1
Left,78,0.6612918006,0.0006220995,0.0000005852,?,?,?,1
Left,62,0.1130812438,0.0002892103,0.0000007397,?,?,?,1
Left,62,0.6808365605,0.0003276403,0.0000001577,?,?,?,1
Left,78,0.9677612863,0.0011918242,0.0000014678,?,?,?,1
Double,406,0.9399671583,0.0010020972,0.0000010683,62,250,94,1
Left,62,0.4124882319,0.0003299906,0.0000002640,?,?,?,1
Left,47,0.6564695440,0.0008405500,0.0000010762,?,?,?,1
Left,63,0.2233132202,0.0001985006,0.0000001764,?,?,?,1
Left,78,0.4500313912,0.0003893005,0.0000003368,?,?,?,1
Left,78,0.3007975247,0.0001187984,0.0000000469,?,?,?,1
Left,78,0.1673398432,0.0002021013,0.0000002441,?,?,?,1
Double,578,0.0432685174,0.0000155586,0.0000000056,78,422,78,1
Left,94,0.0199876064,0.0000266501,0.0000000355,?,?,?,1
Left,78,0.5363043382,0.0006729038,0.0000008443,?,?,?,1
Left,63,0.3618312655,0.0002050035,0.0000001161,?,?,?,1
Right,110,0.5323055992,0.0008114415,0.0000012370,?,?,?,1
Left,78,0.0883301342,0.0002016670,0.0000004604,?,?,?,1
Left,78,0.5572785203,0.0004350340,0.0000003396,?,?,?,1
Left,47,1.0455154404,0.0014872197,0.0000021155,?,?,?,1
Left,62,0.1476128226,0.0002302852,0.0000003593,?,?,?,1
Left,94,0.7837497742,0.0008650660,0.0000009548,?,?,?,1
Double,391,0.7803586949,0.0006936522,0.0000006166,94,203,94,1
Left,79,0.4299828747,0.0002372974,0.0000001310,?,?,?,1
Left,78,0.5600819415,0.0001621546,0.0000000469,?,?,?,1
Left,62,0.7606038353,0.0004680639,0.0000002880,?,?,?,1
Double,547,0.0706566916,0.0000587337,0.0000000488,109,359,79,1
Left,62,0.3284465498,0.0002730229,0.0000002270,?,?,?,1
Left,78,0.0864114759,0.0000142171,0.0000000023,?,?,?,1
Left,78,1.0306679148,0.0017351312,0.0000029211,?,?,?,1
Left,93,0.1221105346,0.0001221105,0.0000001221,?,?,?,1
Left,93,0.1157380639,0.0000851015,0.0000000626,?,?,?,1
Left,78,0.2110615672,0.0003072221,0.0000004472,?,?,?,1
Double,531,0.2565058063,0.0003155053,0.0000003881,109,297,125,1
Double,390,0.0995657701,0.0000923616,0.0000000857,109,203,78,1
Left,79,0.2119634987,0.0002467561,0.0000002873,?,?,?,1
Double,422,0.4565821275,0.0003210845,0.0000002258,94,281,47,1
Left,94,0.3397241126,0.0003244738,0.0000003099,?,?,?,1
Left,94,0.1827473624,0.0000300670,0.0000000049,?,?,?,1
Double,390,0.1598173516,0.0002432532,0.0000003702,78,234,78,1
Left,62,0.0786903588,0.0000093779,0.0000000011,?,?,?,1
Left,62,0.0836377002,0.0000176637,0.0000000037,?,?,?,1
Left,62,0.0026826489,0.0000011220,0.0000000005,?,?,?,1
Left,78,0.1156520242,0.0001072839,0.0000000995,?,?,?,1
Left,79,0.0199908519,0.0000038540,0.0000000007,?,?,?,1
Left,78,0.0313164359,0.0000091089,0.0000000026,?,?,?,1
Left,47,0.3349313663,0.0002522074,0.0000001899,?,?,?,1
Left,78,0.1158154329,0.0000748645,0.0000000484,?,?,?,1
Left,78,0.0521675313,0.0000078189,0.0000000012,?,?,?,1
Left,94,0.1081117028,0.0000853963,0.0000000675,?,?,?,1
Left,94,0.1035661767,0.0001183613,0.0000001353,?,?,?,1
Left,47,0.0646119185,0.0000279463,0.0000000121,?,?,?,1
Left,78,0.0217334605,0.0000019028,0.0000000002,?,?,?,1
Double,547,0.5109639142,0.0003337452,0.0000002180,94,390,63,1
Left,94,0.1588720234,0.0000222012,0.0000000031,?,?,?,1
Left,62,0.0435506917,0.0000113739,0.0000000030,?,?,?,1
Left,93,0.0821474382,0.0000080144,0.0000000008,?,?,?,1
Left,94,0.0351381811,0.0000066349,0.0000000013,?,?,?,1
Left,63,0.0072875595,0.0000004687,0.0000000000,?,?,?,1
Left,78,0.2223075176,0.0001226186,0.0000000676,?,?,?,1
Left,78,0.1456000000,0.0002329600,0.0000003727,?,?,?,1
Right,110,0.5427101122,0.0008088079,0.0000012054,?,?,?,1
Left,62,0.1407358720,0.0003457884,0.0000008496,?,?,?,1
Left,78,0.4742573579,0.0002735048,0.0000001577,?,?,?,1
Left,93,0.8852145378,0.0008712742,0.0000008576,?,?,?,1
Double,375,0.8197392628,0.0008890881,0.0000009643,78,218,79,1
Left,78,0.1119933537,0.0001303764,0.0000001518,?,?,?,1
Left,62,0.6139255955,0.0005380592,0.0000004716,?,?,?,1
Left,78,0.6392770853,0.0004013039,0.0000002519,?,?,?,1
Left,78,0.1907471531,0.0000273081,0.0000000039,?,?,?,1
Left,78,0.3218355660,0.0001907739,0.0000001131,?,?,?,1
Left,62,0.6902556913,0.0004330337,0.0000002717,?,?,?,1
Left,78,0.2088450057,0.0000264160,0.0000000033,?,?,?,1
Left,78,0.2410764593,0.0001109928,0.0000000511,?,?,?,1
Left,78,0.5574737577,0.0003964963,0.0000002820,?,?,?,1
Left,78,0.4351722707,0.0005352672,0.0000006584,?,?,?,1
Left,79,0.4893646436,0.0004292672,0.0000003766,?,?,?,1
Left,63,0.1703022948,0.0000465816,0.0000000127,?,?,?,1
Left,78,0.1926942906,0.0002867475,0.0000004267,?,?,?,1
Right,109,0.4302201306,0.0005397994,0.0000006773,?,?,?,1
Left,78,0.0479329045,0.0001058122,0.0000002336,?,?,?,1
Left,78,0.6770205027,0.0006566639,0.0000006369,?,?,?,1
Left,78,0.6483346816,0.0005389316,0.0000004480,?,?,?,1
Left,78,1.0001520976,0.0013607512,0.0000018514,?,?,?,1
Left,78,0.2260160367,0.0001786688,0.0000001412,?,?,?,1
Left,78,0.4105404754,0.0003921112,0.0000003745,?,?,?,1
Left,63,0.4325448680,0.0002611986,0.0000001577,?,?,?,1
Left,62,0.4044970938,0.0004975364,0.0000006120,?,?,?,1
Left,62,0.3843663970,0.0002342269,0.0000001427,?,?,?,1
Left,78,0.0425944001,0.0000028817,0.0000000002,?,?,?,1
Left,94,0.8253439897,0.0006363485,0.0000004906,?,?,?,1
Left,62,0.0041995247,0.0000051655,0.0000000064,?,?,?,1
Left,63,0.1194406481,0.0000169877,0.0000000024,?,?,?,1
Left,78,0.0000000000,0.0000000000,0.0000000000,?,?,?,1
Left,63,0.3019996650,0.0001624528,0.0000000874,?,?,?,1
Left,78,0.2263569783,0.0000621689,0.0000000171,?,?,?,1
Left,78,0.1346691818,0.0000195882,0.0000000028,?,?,?,1
Left,94,0.2297750723,0.0002674914,0.0000003114,?,?,?,1
Left,78,0.1356431342,0.0000186682,0.0000000026,?,?,?,1
Left,47,0.2989468875,0.0003827745,0.0000004901,?,?,?,1
Left,78,0.4663829223,0.0004813033,0.0000004967,?,?,?,1
Left,47,0.0817784719,0.0000307901,0.0000000116,?,?,?,1
Left,63,0.0125933082,0.0000016618,0.0000000002,?,?,?,1
Left,78,0.0082459160,0.0000017589,0.0000000004,?,?,?,1
Left,62,0.1130520384,0.0000102775,0.0000000009,?,?,?,1
Left,63,1.0139072315,0.0008428157,0.0000007006,?,?,?,1
Left,78,0.0000000000,0.0000000000,0.0000000000,?,?,?,1
Left,63,0.0539393379,0.0000050472,0.0000000005,?,?,?,1
Left,94,0.1167731500,0.0000644088,0.0000000355,?,?,?,1
Left,94,0.2597398796,0.0003780784,0.0000005503,?,?,?,1
Left,63,0.1668415530,0.0001750698,0.0000001837,?,?,?,1
Left,78,0.1402191719,0.0002243507,0.0000003590,?,?,?,1
Left,78,0.3062572420,0.0001005111,0.0000000330,?,?,?,1
Left,63,0.1494203539,0.0000946897,0.0000000600,?,?,?,1
Left,63,0.3643198928,0.0003479655,0.0000003323,?,?,?,1
Left,78,0.2596317459,0.0001239884,0.0000000592,?,?,?,1
Left,78,0.1514889693,0.0000763553,0.0000000385,?,?,?,1
Left,63,0.0601986334,0.0000356838,0.0000000212,?,?,?,1
Left,63,0.0498705468,0.0000129232,0.0000000033,?,?,?,1
Left,78,0.0579909578,0.0000325426,0.0000000183,?,?,?,1
Left,94,0.0231998718,0.0000218455,0.0000000206,?,?,?,1
Left,93,0.2608033820,0.0001324547,0.0000000673,?,?,?,1
Double,578,0.0225031922,0.0000360051,0.0000000576,62,438,78,1
Left,78,0.2373262292,0.0001368663,0.0000000789,?,?,?,1
Left,94,0.1382676793,0.0001163869,0.0000000980,?,?,?,1
Left,93,0.4488057102,0.0002610853,0.0000001519,?,?,?,1
Left,47,0.0839624304,0.0001014039,0.0000001225,?,?,?,1
Left,63,0.1987550051,0.0000669434,0.0000000225,?,?,?,1
Right,94,0.5392547297,0.0007500066,0.0000010431,?,?,?,1
Left,63,0.0837899613,0.0002554572,0.0000007788,?,?,?,1
Left,94,0.4847936425,0.0003013012,0.0000001873,?,?,?,1
Left,79,0.7780071145,0.0013460331,0.0000023288,?,?,?,1
Left,78,0.7471869326,0.0005828291,0.0000004546,?,?,?,1
Left,63,0.3814422128,0.0002570365,0.0000001732,?,?,?,1
Left,78,0.4641404597,0.0003713124,0.0000002970,?,?,?,1
Right,109,0.0565281502,0.0000737965,0.0000000963,?,?,?,1
Left,78,0.1817641285,0.0001401420,0.0000001081,?,?,?,1
Left,93,0.1091617344,0.0000597165,0.0000000327,?,?,?,1
Left,94,0.3741587976,0.0002259413,0.0000001364,?,?,?,1
Double,562,0.3333988779,0.0005612776,0.0000009449,94,421,47,1
Left,78,0.0983816980,0.0000091920,0.0000000009,?,?,?,1
Right,93,0.8495619342,0.0002564328,0.0000000774,?,?,?,1
Left,63,0.1144560109,0.0000927520,0.0000000752,?,?,?,1
Left,94,0.6404194473,0.0005464330,0.0000004662,?,?,?,1
Left,78,1.0655551549,0.0012177773,0.0000013917,?,?,?,1
Left,78,0.0118120622,0.0000148207,0.0000000186,?,?,?,1
Double,359,0.4697746808,0.0005272443,0.0000005917,62,235,62,1
Left,47,0.4012348003,0.0002356047,0.0000001383,?,?,?,1
Left,78,0.0923959644,0.0000431555,0.0000000202,?,?,?,1
Left,93,0.1393878903,0.0000437227,0.0000000137,?,?,?,1
Left,78,0.1030415690,0.0000172195,0.0000000029,?,?,?,1
Left,78,0.1771138666,0.0002139056,0.0000002583,?,?,?,1
Left,78,0.0625995166,0.0001027907,0.0000001688,?,?,?,1
Right,109,0.0063694268,0.0000405696,0.0000002584,?,?,?,1
Left,63,0.0651958667,0.0001393074,0.0000002977,?,?,?,1
Left,94,1.0437812375,0.0014847528,0.0000021120,?,?,?,1
Left,78,0.7108645241,0.0005480837,0.0000004226,?,?,?,1
Left,94,0.2296504818,0.0000699941,0.0000000213,?,?,?,1
Left,78,0.1032431540,0.0000674351,0.0000000440,?,?,?,1
Left,78,0.1050685830,0.0000142157,0.0000000019,?,?,?,1
Left,78,0.2408700568,0.0001792188,0.0000001333,?,?,?,1
Left,93,0.2645581934,0.0000466428,0.0000000082,?,?,?,1
Left,63,0.1666007903,0.0000419861,0.0000000106,?,?,?,1
Right,109,0.3468781632,0.0004266644,0.0000005248,?,?,?,1
Left,78,0.0732012714,0.0001675086,0.0000003833,?,?,?,1
Left,63,0.5215400479,0.0004767276,0.0000004358,?,?,?,1
Left,47,0.7755987947,0.0007522782,0.0000007297,?,?,?,1
Left,47,0.8400775508,0.0007467356,0.0000006638,?,?,?,1
Double,375,0.7238326923,0.0010296340,0.0000014646,94,235,46,1
Left,63,0.8144173459,0.0009307627,0.0000010637,?,?,?,1
Left,62,0.9516517833,0.0016903229,0.0000030023,?,?,?,1
Left,47,0.2966102616,0.0002019130,0.0000001374,?,?,?,1
Left,63,0.2006013691,0.0000759854,0.0000000288,?,?,?,1
Left,63,0.4756130727,0.0003309764,0.0000002303,?,?,?,1
Left,78,0.8616995107,0.0013787192,0.0000022060,?,?,?,1
Left,63,0.6977750117,0.0008934379,0.0000011440,?,?,?,1
Left,78,0.0241429447,0.0000023374,0.0000000002,?,?,?,1
Left,94,0.0364268724,0.0000167711,0.0000000077,?,?,?,1
Left,94,0.1223638369,0.0000212807,0.0000000037,?,?,?,1
Left,62,0.0254535145,0.0000046945,0.0000000009,?,?,?,1
Left,79,0.1214846020,0.0000580433,0.0000000277,?,?,?,1
Left,78,0.2430528859,0.0001482030,0.0000000904,?,?,?,1
Left,94,0.0383121883,0.0000029295,0.0000000002,?,?,?,1
Left,62,0.6683670506,0.0002776764,0.0000001154,?,?,?,1
Left,62,0.2593211078,0.0003688778,0.0000005247,?,?,?,1
Left,63,0.3893404357,0.0006083444,0.0000009505,?,?,?,1
Left,63,0.4201668406,0.0003361335,0.0000002689,?,?,?,1
Left,78,0.9529251089,0.0005543485,0.0000003225,?,?,?,1
Left,62,0.3177139796,0.0003387143,0.0000003611,?,?,?,1
Left,62,0.1896979895,0.0001686204,0.0000001499,?,?,?,1
